Seed,Initial_Density,Final_Step_Count,Final_Density,Reason
1,81,6,0.0038, stagnated 
2,81,16,0.0022, stagnated 
3,81,586,0.004, stagnated 
4,81,61,0.0014, stagnated 
5,81,7,0.0007, stagnated 
6,81,7,0.0023, stagnated 
7,81,19,0.0041, stagnated 
8,81,13,0.0027, stagnated 
9,81,23,0.0043, stagnated 
10,81,7,0.0, zeros 
1,82,5,0.0034, stagnated 
2,82,16,0.0022, stagnated 
3,82,394,0.0044, stagnated 
4,82,8,0.0011, stagnated 
5,82,6,0.0004, stagnated 
6,82,7,0.0022, stagnated 
7,82,17,0.0033, stagnated 
8,82,13,0.0015, stagnated 
9,82,7,0.0022, stagnated 
10,82,3,0.0004, stagnated 
1,83,5,0.0032, stagnated 
2,83,33,0.0027, stagnated 
3,83,4,0.0006, stagnated 
4,83,4,0.0011, stagnated 
5,83,6,0.0004, stagnated 
6,83,7,0.0014, stagnated 
7,83,7,0.0022, stagnated 
8,83,13,0.0016, stagnated 
9,83,7,0.0019, stagnated 
10,83,3,0.0, zeros 
1,84,5,0.0032, stagnated 
2,84,5,0.0016, stagnated 
3,84,4,0.0006, stagnated 
4,84,3,0.0, zeros 
5,84,3,0.0, zeros 
6,84,7,0.001, stagnated 
7,84,7,0.0018, stagnated 
8,84,6,0.0004, stagnated 
9,84,6,0.0014, stagnated 
10,84,3,0.0, zeros 
1,85,5,0.002, stagnated 
2,85,31,0.0032, stagnated 
3,85,4,0.0006, stagnated 
4,85,3,0.0, zeros 
5,85,3,0.0, zeros 
6,85,5,0.0007, stagnated 
7,85,4,0.0014, stagnated 
8,85,6,0.0, zeros 
9,85,6,0.0004, stagnated 
10,85,3,0.0, zeros 
1,86,5,0.0016, stagnated 
2,86,5,0.0008, stagnated 
3,86,4,0.0003, stagnated 
4,86,3,0.0, zeros 
5,86,3,0.0, zeros 
6,86,4,0.0004, stagnated 
7,86,4,0.0007, stagnated 
8,86,6,0.0, zeros 
9,86,3,0.0, zeros 
10,86,3,0.0, zeros 
1,87,3,0.0016, stagnated 
2,87,5,0.0004, stagnated 
3,87,4,0.0003, stagnated 
4,87,3,0.0004, stagnated 
5,87,3,0.0, zeros 
6,87,4,0.0004, stagnated 
7,87,4,0.0007, stagnated 
8,87,6,0.0004, stagnated 
9,87,3,0.0, zeros 
10,87,3,0.0, zeros 
1,88,3,0.0012, stagnated 
2,88,5,0.0004, stagnated 
3,88,3,0.0, zeros 
4,88,3,0.0004, stagnated 
5,88,3,0.0, zeros 
6,88,4,0.0004, stagnated 
7,88,3,0.0, zeros 
8,88,6,0.0004, stagnated 
9,88,3,0.0, zeros 
10,88,3,0.0, zeros 
1,89,3,0.0008, stagnated 
2,89,5,0.0004, stagnated 
3,89,3,0.0, zeros 
4,89,3,0.0004, stagnated 
5,89,3,0.0, zeros 
6,89,3,0.0, zeros 
7,89,3,0.0, zeros 
8,89,3,0.0004, stagnated 
9,89,3,0.0, zeros 
10,89,3,0.0, zeros 
1,90,3,0.0008, stagnated 
2,90,3,0.0004, stagnated 
3,90,3,0.0, zeros 
4,90,3,0.0004, stagnated 
5,90,3,0.0, zeros 
6,90,3,0.0, zeros 
7,90,2,0.0, zeros 
8,90,2,0.0004, stagnated 
9,90,3,0.0, zeros 
10,90,3,0.0, zeros 
1,91,3,0.0008, stagnated 
2,91,3,0.0004, stagnated 
3,91,3,0.0, zeros 
4,91,3,0.0004, stagnated 
5,91,3,0.0, zeros 
6,91,2,0.0, zeros 
7,91,2,0.0, zeros 
8,91,2,0.0004, stagnated 
9,91,3,0.0, zeros 
10,91,3,0.0, zeros 
1,92,3,0.0, zeros 
2,92,3,0.0, zeros 
3,92,2,0.0, zeros 
4,92,2,0.0, zeros 
5,92,3,0.0, zeros 
6,92,2,0.0, zeros 
7,92,3,0.0, zeros 
8,92,2,0.0008, stagnated 
9,92,3,0.0, zeros 
10,92,3,0.0, zeros 
1,93,3,0.0, zeros 
2,93,3,0.0, zeros 
3,93,2,0.0, zeros 
4,93,2,0.0, zeros 
5,93,3,0.0, zeros 
6,93,2,0.0, zeros 
7,93,3,0.0, zeros 
8,93,2,0.0004, stagnated 
9,93,3,0.0, zeros 
10,93,3,0.0, zeros 
1,94,3,0.0, zeros 
2,94,3,0.0, zeros 
3,94,2,0.0, zeros 
4,94,2,0.0, zeros 
5,94,3,0.0, zeros 
6,94,2,0.0, zeros 
7,94,3,0.0, zeros 
8,94,2,0.0, zeros 
9,94,3,0.0, zeros 
10,94,3,0.0, zeros 
1,95,3,0.0, zeros 
2,95,3,0.0, zeros 
3,95,2,0.0, zeros 
4,95,2,0.0, zeros 
5,95,3,0.0, zeros 
6,95,2,0.0, zeros 
7,95,3,0.0, zeros 
8,95,2,0.0, zeros 
9,95,3,0.0, zeros 
10,95,3,0.0, zeros 
1,96,2,0.0, zeros 
2,96,2,0.0, zeros 
3,96,2,0.0, zeros 
4,96,2,0.0, zeros 
5,96,3,0.0, zeros 
6,96,3,0.0, zeros 
7,96,2,0.0, zeros 
8,96,2,0.0, zeros 
9,96,3,0.0, zeros 
10,96,2,0.0, zeros 
1,97,2,0.0, zeros 
2,97,2,0.0, zeros 
3,97,2,0.0, zeros 
4,97,2,0.0, zeros 
5,97,2,0.0, zeros 
6,97,2,0.0, zeros 
7,97,2,0.0, zeros 
8,97,2,0.0, zeros 
9,97,3,0.0, zeros 
10,97,2,0.0, zeros 
1,98,2,0.0, zeros 
2,98,2,0.0, zeros 
3,98,2,0.0, zeros 
4,98,2,0.0, zeros 
5,98,2,0.0, zeros 
6,98,2,0.0, zeros 
7,98,2,0.0, zeros 
8,98,2,0.0, zeros 
9,98,2,0.0, zeros 
10,98,2,0.0, zeros 
1,99,2,0.0, zeros 
2,99,2,0.0, zeros 
3,99,2,0.0, zeros 
4,99,2,0.0, zeros 
5,99,2,0.0, zeros 
6,99,2,0.0, zeros 
7,99,2,0.0, zeros 
8,99,2,0.0, zeros 
9,99,2,0.0, zeros 
10,99,2,0.0, zeros 
1,100,2,0.0, zeros 
2,100,2,0.0, zeros 
3,100,2,0.0, zeros 
4,100,2,0.0, zeros 
5,100,2,0.0, zeros 
6,100,2,0.0, zeros 
7,100,2,0.0, zeros 
8,100,2,0.0, zeros 
9,100,2,0.0, zeros 
10,100,2,0.0, zeros 
7,26,3687,0.0321,stagnated 
7,59,1220,0.0424,stagnated 
5,59,4311,0.0292,stagnated 
