Seed,Initial_Density,Final_Step_Count,Final_Density,Reason
5,17,1770,0.0383, stagnated 
6,17,987,0.0336, stagnated 
7,17,615,0.0282, stagnated 
8,17,1057,0.0285, stagnated 
9,17,1003,0.027, stagnated 
10,17,840,0.0304, stagnated 
1,18,1416,0.027, stagnated 
2,18,1049,0.0294, stagnated 
3,18,1766,0.0291, stagnated 
4,18,526,0.0287, stagnated 
5,18,776,0.0301, stagnated 
6,18,544,0.0404, stagnated 
7,18,556,0.028, stagnated 
8,18,2997,0.0296, stagnated 
9,18,1068,0.0346, stagnated 
10,18,1133,0.0328, stagnated 
1,19,1552,0.028, stagnated 
2,19,635,0.0284, stagnated 
3,19,1072,0.0286, stagnated 
4,19,906,0.0307, stagnated 
5,19,814,0.0351, stagnated 
6,19,938,0.0284, stagnated 
7,19,1365,0.0293, stagnated 
8,19,1054,0.0247, stagnated 
9,19,995,0.026, stagnated 
10,19,448,0.0313, stagnated 
1,20,1034,0.0262, stagnated 
2,20,822,0.0366, stagnated 
3,20,1211,0.0314, stagnated 
4,20,559,0.0283, stagnated 
5,20,755,0.0285, stagnated 
6,20,622,0.0327, stagnated 
7,20,2028,0.03, stagnated 
8,20,1352,0.0308, stagnated 
9,20,905,0.0301, stagnated 
10,20,935,0.0341, stagnated 
1,21,623,0.0275, stagnated 
2,21,1482,0.0373, stagnated 
3,21,1723,0.0289, stagnated 
4,21,1159,0.0256, stagnated 
5,21,1499,0.0374, stagnated 
6,21,793,0.0307, stagnated 
7,21,674,0.0247, stagnated 
8,21,3408,0.0246, stagnated 
9,21,1242,0.0349, stagnated 
10,21,1468,0.0327, stagnated 
1,22,881,0.0321, stagnated 
2,22,467,0.0415, stagnated 
3,22,611,0.0345, stagnated 
4,22,1839,0.028, stagnated 
5,22,1588,0.0275, stagnated 
6,22,736,0.0318, stagnated 
7,22,661,0.0326, stagnated 
8,22,466,0.029, stagnated 
9,22,1149,0.0265, stagnated 
10,22,761,0.0323, stagnated 
1,23,640,0.0321, stagnated 
2,23,1717,0.0316, stagnated 
3,23,982,0.0298, stagnated 
4,23,743,0.0281, stagnated 
5,23,1701,0.0309, stagnated 
6,23,1817,0.0298, stagnated 
7,23,693,0.0293, stagnated 
8,23,1081,0.0302, stagnated 
9,23,518,0.0313, stagnated 
10,23,573,0.0259, stagnated 
1,24,940,0.0288, stagnated 
2,24,1567,0.0257, stagnated 
3,24,704,0.034, stagnated 
4,24,1473,0.034, stagnated 
5,24,1542,0.0225, stagnated 
6,24,1997,0.0338, stagnated 
7,24,1672,0.0384, stagnated 
8,24,1403,0.0341, stagnated 
9,24,996,0.0325, stagnated 
10,24,1395,0.0286, stagnated 
1,25,826,0.0251, stagnated 
2,25,961,0.0303, stagnated 
3,25,1602,0.0332, stagnated 
4,25,1166,0.025, stagnated 
5,25,979,0.0332, stagnated 
6,25,2193,0.0319, stagnated 
7,25,677,0.03, stagnated 
8,25,2409,0.0283, stagnated 
9,25,1891,0.0251, stagnated 
10,25,1437,0.04, stagnated 
1,26,381,0.0369, stagnated 
2,26,641,0.0285, stagnated 
3,26,628,0.0323, stagnated 
4,26,1069,0.0309, stagnated 
5,26,756,0.028, stagnated 
6,26,682,0.0293, stagnated 
7,26,3687,0.0321, stagnated 
8,26,1223,0.03, stagnated 
9,26,608,0.0278, stagnated 
10,26,1369,0.0337, stagnated 
1,27,920,0.0326, stagnated 
2,27,1170,0.0285, stagnated 
3,27,419,0.0295, stagnated 
4,27,1779,0.0289, stagnated 
5,27,2525,0.0324, stagnated 
6,27,812,0.0272, stagnated 
7,27,894,0.0341, stagnated 
8,27,953,0.0348, stagnated 
9,27,971,0.0296, stagnated 
10,27,787,0.0321, stagnated 
1,28,685,0.0225, stagnated 
2,28,900,0.0369, stagnated 
3,28,1668,0.0337, stagnated 
4,28,538,0.0316, stagnated 
5,28,1482,0.0327, stagnated 
6,28,1951,0.028, stagnated 
7,28,1128,0.0305, stagnated 
8,28,704,0.0285, stagnated 
9,28,887,0.0315, stagnated 
10,28,764,0.0329, stagnated 
1,29,791,0.0367, stagnated 
2,29,767,0.0285, stagnated 
3,29,414,0.0315, stagnated 
